"","x"
"1","HSPA1B"
"2","PDK4"
"3","MS4A4A"
"4","HN1"
"5","RGS1"
"6","ZNF703"
"7","GPR155"
"8","FCGR2B"
"9","PRKCDBP"
"10","C5AR2"
"11","IER5L"
"12","ACTN1"
"13","BPI"
"14","TESC"
"15","MARCH1"
"16","ABCC3"
"17","TNNI2"
"18","IFIT3"
"19","CTSL"
"20","SERPINB8"
"21","KCNK6"
"22","PID1"
"23","LINC01588"
"24","FFAR2"
"25","OLFM1"
"26","RP11-467L13.7"
"27","VCL"
"28","S1PR3"
"29","OASL"
"30","LDLR"
"31","MT-CO2"
"32","FAM101B"
"33","FAM45A"
"34","SERPINB2"
"35","PLA2G16"
"36","ID1"
"37","ABI3"
"38","XIST"
"39","CLEC10A"
"40","EGR2"
"41","THBD"
"42","HPSE"
"43","CITED2"
"44","CAMK1"
"45","HCAR3"
"46","DNAJB1"
"47","GBP5"
"48","KYNU"
"49","FERMT3"
"50","TUBA4A"
"51","IFIT2"
"52","RPPH1"
"53","RGS18"
"54","FAM107B"
"55","PTX3"
"56","BHLHE40"
"57","SH3BP5"
"58","LPAR6"
"59","MX1"
"60","F13A1"
"61","GBP1"
"62","EGR1"
"63","PHLDA1"
"64","CRISPLD2"
"65","OSM"
"66","GRASP"
"67","IFI44L"
"68","MARCO"
"69","SLC25A37"
"70","BLVRB"
"71","ARL4C"
"72","VSIG4"
"73","PHLDA2"
"74","LILRB4"
"75","STAB1"
"76","FCAR"
"77","THBS1"
"78","ZBTB43"
"79","TNF"
"80","FBP1"
"81","MT-ND3"
"82","AQP9"
"83","RP11-1143G9.4"
"84","DDIT3"
"85","C3AR1"
"86","FAM198B"
"87","RP11-796E2.4"
"88","MAP3K8"
"89","STAT1"
"90","DUSP2"
"91","SCIMP"
"92","GPBAR1"
"93","PPIF"
"94","CREB5"
"95","GIMAP1"
"96","NRG1"
"97","GIMAP7"
"98","ASGR2"
"99","PLIN2"
"100","SECTM1"
"101","CYTH4"
"102","OAS1"
"103","P2RY13"
"104","CDKN2D"
"105","RNASE2"
"106","HOMER3"
"107","UNC93B1"
"108","VEGFA"
"109","ICAM1"
"110","ATF3"
"111","IL1RN"
"112","CXCL3"
"113","TNNT1"
"114","NEU1"
"115","SOCS3"
"116","HLA-DQA1"
"117","CD163"
"118","NR4A1"
"119","TLR4"
"120","IL13RA1"
"121","CH17-373J23.1"
"122","FCGR3A"
"123","SLC15A3"
"124","CSF1R"
"125","CX3CR1"
"126","CCL4"
"127","CD93"
"128","CRIP1"
"129","MX2"
"130","ADAP2"
"131","BASP1"
"132","TMEM170B"
"133","QPCT"
"134","GLRX"
"135","CD86"
"136","BCL6"
"137","CCL4L2"
"138","AHR"
"139","SCPEP1"
"140","ENTPD1"
"141","LY96"
"142","LILRA5"
"143","PKM"
"144","OSCAR"
"145","IFI6"
"146","BTG2"
"147","TGFB1"
"148","RASSF4"
"149","HLA-DPB1"
"150","ODF3B"
"151","GPR183"
"152","HLA-DQA2"
"153","PLEK"
"154","CXCL16"
"155","PLEC"
"156","LRP1"
"157","CYP27A1"
"158","CTD-3252C9.4"
"159","GBP2"
"160","ISG15"
"161","LUCAT1"
"162","ITGAX"
"163","MCEMP1"
"164","LY86"
"165","LRRK2"
"166","LINC01272"
"167","CD4"
"168","HSPA1A"
"169","RNASE6"
"170","CLEC4A"
"171","EVI2A"
"172","CKAP4"
"173","NRGN"
"174","CES1"
"175","VNN2"
"176","ADM"
"177","RNU12"
"178","AOAH"
"179","TLR2"
"180","TXNIP"
"181","JUND"
"182","KDM6B"
"183","WARS"
"184","ANPEP"
"185","ALOX5"
"186","HLA-DRB5"
"187","METRNL"
"188","HNMT"
"189","CTB-61M7.2"
"190","SLC31A2"
"191","FOLR3"
"192","EREG"
"193","DOK2"
"194","ALOX5AP"
"195","SLC43A2"
"196","ZNF385A"
"197","LYST"
"198","TMSB4X"
"199","GIMAP4"
"200","DMXL2"
"201","MEGF9"
"202","LRRC25"
"203","SCO2"
"204","CCR1"
"205","HLA-DMB"
"206","FCGR1A"
"207","HBEGF"
"208","JUN"
"209","OTUD1"
"210","ASGR1"
"211","CDC42EP3"
"212","FOSL2"
"213","IL10RA"
"214","NINJ1"
"215","NLRP3"
"216","RAB31"
"217","MT2A"
"218","IER5"
"219","RGCC"
"220","HMOX1"
"221","PTAFR"
