"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD99",0,0.673108834497001,0.962,0.777,0
"RPS20",0,-0.490644771354503,0.994,0.98,0
"CD44",0,1.80116298055294,0.977,0.734,0
"RPL18",0,-0.363506056848145,0.999,0.999,0
"ITM2A",0,1.21287027458604,0.824,0.411,0
"RPLP0",0,-0.498699941026817,0.998,0.997,0
"RPS16",0,-0.364455540226048,0.999,0.997,0
"RPS19",0,-0.500884582311678,1,0.999,0
"CPVL",0,-0.563320761479031,0.085,0.5,0
"NPDC1",0,-0.685018402790033,0.037,0.417,0
"RPL34",0,0.584860431035042,1,0.995,0
"CD69",0,1.15992168028521,0.695,0.236,0
"RPS12",0,0.396069898651559,1,1,0
"IGFBP2",0,-0.677488997425048,0.019,0.349,0
"CTSD",0,0.676946785781977,0.925,0.682,0
"CCNI",0,0.728540964767572,0.99,0.906,0
"HCST",0,1.1949303051354,0.908,0.55,0
"RAC2",0,0.769394355483825,0.957,0.751,0
"JUND",0,0.836529271007564,0.996,0.944,0
"LSP1",0,0.859790728911996,0.908,0.602,0
"ABHD12B",0,0.41151103468893,0.393,0.014,0
"RPS15A",0,0.532012237673278,1,0.998,0
"ITM2C",0,0.994707297807868,0.9,0.575,0
"RPL35",0,-0.566144348492417,0.998,0.995,0
"SORL1",0,0.985162337288385,0.851,0.444,0
"RPL13A",0,-0.513296995954553,0.999,0.998,0
"RPS3A",0,0.431148524216603,1,0.998,0
"GSN",0,0.953909037207806,0.827,0.417,0
"MZT2B",0,-0.672976595011662,0.966,0.953,0
"EEF1A1",0,0.718161269330068,1,1,0
"NBL1",0,0.618609071344406,0.553,0.101,0
"RPL8",0,-0.48568263119881,1,0.998,0
"HPGDS",0,0.762647643611229,0.528,0.076,0
"RPS14",0,-0.438614140394235,0.999,0.999,0
"RPL27A",0,-0.946653331163286,0.995,0.994,0
"PRDX2",0,-1.64471485860503,0.239,0.779,0
"HIST1H1E",0,-0.754890421922633,0.104,0.521,0
"TPSAB1",0,2.72680101680147,0.848,0.08,0
"CD34",0,1.30747591049966,0.86,0.501,0
"ZFAS1",0,0.857879172351474,0.99,0.913,0
"RPLP2",0,-0.353542695846673,1,0.996,0
"RPS27",0,0.548803321602468,1,0.998,0
"RPS17",0,-0.689480054848292,0.992,0.978,0
"DLK1",0,1.70560252480771,0.497,0.086,0
"PRTN3",0,-3.20050096588521,0.032,0.454,0
"ELANE",0,-2.56941088979517,0.067,0.505,0
"CFD",0,-2.37796962359527,0.156,0.605,0
"RPS4X",0,0.374893280870435,1,1,0
"HSD17B11",0,0.877532865558553,0.948,0.65,0
"C1orf228",0,1.30090319846911,0.958,0.676,0
"MT-CO2",0,0.517676310882711,0.999,0.969,0
"MT-CO1",0,0.772458989549316,0.998,0.963,0
"MT-ND3",0,0.937800509351352,0.998,0.952,0
"RPL39",0,0.603857128185824,0.999,0.997,0
"MIR181A1HG",0,0.855542714199654,0.761,0.299,0
"HBB",0,-2.31592072083499,0.298,0.859,0
"CEBPA",0,1.58413291350182,0.858,0.411,0
"MALAT1",0,1.25333142563457,0.999,0.963,0
"C1orf186",0,1.40021558053242,0.722,0.154,0
"PCAT18",0,0.906849343973363,0.586,0.046,0
"SNHG8",0,0.858492940256978,0.962,0.801,0
"AC090498.1",0,0.730143232160478,0.941,0.7,0
"TPT1",2.08052367941947e-306,0.397076567463848,1,0.999,7.01011648543596e-302
"FYB",2.3517886118303e-304,0.654242419811344,0.762,0.337,7.92411654870102e-300
"RPL10",2.40539469665034e-289,0.324976908991309,1,1,8.10473689089364e-285
"RPL41",4.46267119534215e-289,0.280280746121461,1,0.997,1.50365243255858e-284
"RNASEH2C",7.47632698396729e-285,-0.799153858633443,0.582,0.801,2.51907361397794e-280
"RPS23",9.16125186976747e-283,0.287108413551731,1,0.999,3.08679220499945e-278
"HIST1H4C",2.52980836595891e-281,-1.44565974165779,0.774,0.898,8.52393630826196e-277
"HBD",2.58138786807859e-279,-2.28045594804542,0.053,0.385,8.69772828270399e-275
"HIST1H1D",8.93052128474404e-278,-0.919652465210771,0.181,0.544,3.00904984168166e-273
"RPL30",4.32456840452216e-277,0.343066257285276,0.999,0.999,1.4571200782197e-272
"TPSB2",2.16327738381892e-275,1.10766341499649,0.601,0.224,7.28894681703948e-271
"AREG",9.28280011695062e-275,1.45750610952817,0.687,0.301,3.12774667140534e-270
"TXNIP",5.2505962295439e-274,0.775309892403176,0.856,0.556,1.76913589358252e-269
"RP11-354E11.2",3.37057115947995e-273,0.647933329959912,0.392,0.032,1.13568024647518e-268
"NACA",2.93221871782061e-272,0.391378513451349,0.999,0.992,9.87981774782477e-268
"VSTM1",4.34777899528207e-271,0.443395524806115,0.406,0.044,1.46494065467034e-266
"FAM92A1",1.0429705341324e-270,-0.281871581182862,0.004,0.277,3.5141849177057e-266
"CSF3R",1.00537591811893e-268,0.737675185302086,0.834,0.49,3.38751361850992e-264
"HMGB1",4.83609580602656e-266,-0.980133758972847,0.995,0.992,1.62947412088259e-261
"HOPX",2.09354478307294e-265,0.77790280246639,0.657,0.255,7.05398979208597e-261
"PRSS57",1.16338520385452e-264,-1.22591745711533,0.788,0.807,3.91991010586741e-260
"PABPC1",5.71278436233187e-263,0.504313042007639,0.996,0.951,1.9248655630441e-258
"ARHGDIB",2.79788478759043e-262,0.480771502634015,0.989,0.916,9.4271930033072e-258
"ACTB",6.91599829264686e-261,0.588645155805009,1,0.989,2.33027646472443e-256
"CTSA",9.09208300954134e-261,0.736985172900995,0.843,0.597,3.06348644923486e-256
"RPL13",1.18621703080005e-260,-0.414697704616051,0.999,1,3.99683966357769e-256
"APLP2",1.60103842550158e-260,0.702931959969653,0.942,0.727,5.39453887088503e-256
"PTMA",3.32009217802304e-259,-0.526616232297511,1,0.999,1.11867185846308e-254
"TPM4",2.63332774566532e-252,0.700693524919431,0.893,0.615,8.87273450624475e-248
"IL18",1.26901282554463e-251,0.629005006310292,0.723,0.383,4.27581181439007e-247
"CRHBP",1.51473913087155e-251,0.818101625042754,0.342,0.017,5.10376202755861e-247
"RPS28",1.07317395367832e-249,0.289651068723027,1,0.995,3.61595231952375e-245
"PKM",4.73128166664522e-249,-0.85172243745233,0.312,0.682,1.59415804475944e-244
"PLPPR3",2.58031487607851e-248,-0.683066334396689,0.045,0.343,8.69411294345892e-244
"CD82",2.59288127977137e-248,0.641041148942512,0.818,0.501,8.73645418406167e-244
"RAB13",5.45309792168787e-248,-0.57158308518823,0.22,0.58,1.83736681373351e-243
"EEF2",8.39672283750356e-246,0.435482632942547,0.996,0.968,2.82919179286845e-241
"AZU1",4.1525105777067e-245,-1.54149829868907,0.148,0.501,1.3991469140525e-240
"DENND6B",2.59515399928318e-243,0.557170000588681,0.622,0.259,8.74411188518473e-239
"ASAH1",1.17854492027721e-242,0.5622766899342,0.861,0.585,3.97098925438204e-238
"BTF3",5.9592493146862e-242,0.390523533929616,0.998,0.981,2.00790946409037e-237
"DPP7",9.47679953911977e-242,-0.687054623880704,0.525,0.763,3.19311283671101e-237
"RPL27",1.4344383521407e-240,-0.353783699550421,0.996,0.987,4.83319658370286e-236
"SDF2L1",6.10537868903474e-237,-0.643272092158451,0.198,0.536,2.05714629548336e-232
"UBA7",1.70735588896107e-235,0.544976791545662,0.674,0.339,5.75276493226544e-231
"ARL6IP4",1.06944340211056e-233,-0.58308115487272,0.904,0.892,3.60338259907131e-229
"DEK",1.50967000034781e-233,-0.782756012413607,0.778,0.865,5.08668209917193e-229
"ACY3",3.62921684649164e-232,0.840371490139605,0.437,0.094,1.22282832425689e-227
