"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ALDH1A1",0,-0.98727503060389,0.036,0.615,0
"RPL27A",3.63597885108495e-256,-1.02287550379457,0.982,0.983,1.22510671408456e-251
"EGR1",7.4669826129431e-246,1.96784895808138,0.893,0.41,2.51592512160505e-241
"RPS29",1.00756696464815e-243,-0.790889883798499,0.997,0.992,3.39489613068549e-239
"PABPC1",8.40307129002734e-240,0.898798545205895,0.998,0.966,2.83133084046181e-235
"RPL37A",1.31761340477048e-212,-0.682849325127423,0.998,0.997,4.43956660603367e-208
"RPL7",8.91559858999995e-201,0.608809400384452,0.998,0.988,3.00402178891458e-196
"EEF1A1",4.37558667655205e-191,0.490761055798276,1,0.999,1.47431017479745e-186
"RPL36A",1.51663854198688e-188,-0.661688854878286,0.984,0.98,5.11016190337061e-184
"RPL37",2.83620162308663e-188,-0.445733069793861,0.999,0.992,9.55629774882808e-184
"RPL38",5.64945028560838e-187,-0.680461462887626,0.986,0.987,1.90352577923289e-182
"NPR3",3.31853047186711e-179,-0.607994779082092,0.113,0.603,1.1181456571909e-174
"EVA1B",1.27203802169657e-178,-0.671515789310964,0.063,0.48,4.28600491030442e-174
"RPL41",7.55535597338439e-176,-0.376804444869506,1,0.999,2.54570164167214e-171
"HIST1H1E",7.04850213669552e-175,-0.63156158489548,0.127,0.607,2.37492230993819e-170
"RPS10",1.82755906338881e-174,-0.48927979144292,0.996,0.992,6.15777750818226e-170
"RPS3A",1.2655912166868e-173,0.433474819007419,0.999,0.998,4.26428304550449e-169
"RPL35",6.207064356841e-167,-0.561743627546876,0.995,0.988,2.09140826439401e-162
"RPL13A",1.1730428662719e-166,-0.579077935222137,0.995,0.994,3.95245063361654e-162
"C1orf228",1.18266471128367e-162,1.04631290767948,0.924,0.683,3.98487047819921e-158
"RPL27",2.32214160952359e-153,-0.549468796702054,0.988,0.984,7.82422393912877e-149
"C1QTNF4",1.90575689850176e-148,1.28368806809311,0.883,0.507,6.42125729381182e-144
"CRHBP",7.37938468999015e-142,-0.761858051612222,0.08,0.467,2.48640987744528e-137
"HEMGN",8.95301822189807e-141,-0.635461031174233,0.087,0.473,3.01662995968633e-136
"HBB",9.10372142554157e-134,-4.10880683546738,0.012,0.269,3.06740789712198e-129
"RPL23A",3.79640211142387e-132,-0.388204365205299,0.995,0.991,1.27915972742316e-127
"FLOT1",4.19979581129733e-129,-0.351673397768794,0.069,0.424,1.41507920065852e-124
"HSD17B11",5.81246304886402e-129,0.839964627044926,0.918,0.776,1.95845129968424e-124
"EEF1D",8.71137054690752e-129,0.472131690863969,0.995,0.979,2.93520919207502e-124
"RPL30",2.59562263236171e-127,0.387687178795594,1,0.998,8.74569089747955e-123
"HBD",7.21613173010347e-126,-1.19437905231884,0.025,0.301,2.43140342514106e-121
"MDK",1.41463387663228e-125,-0.768286946688733,0.064,0.388,4.7664673839248e-121
"KLF6",1.14974041375024e-117,1.16417532680598,0.924,0.741,3.87393535009006e-113
"C2orf88",2.92312688779056e-117,-0.385415029477172,0.026,0.289,9.84918373572151e-113
"RPL36",2.12302098742191e-116,-0.337835165661556,0.999,0.997,7.15330691501938e-112
"RPLP1",1.98676591923862e-115,-0.290076855367535,1,1,6.6942090882826e-111
"CLEC11A",6.13606346214626e-114,1.1265968386556,0.824,0.634,2.06748522293556e-109
"AC090498.1",1.11170061608739e-111,0.626509217891412,0.922,0.845,3.74576405584486e-107
"DUSP1",3.07112194768675e-111,1.00910787009628,0.967,0.881,1.03478382905357e-106
"KLF2",1.12127848749815e-107,-1.1881143452712,0.102,0.441,3.77803573577627e-103
"HIST1H1D",9.52236019314305e-107,-0.624513119068836,0.177,0.565,3.20846404347762e-102
"GPX4",1.95262025449254e-105,-0.770700243283821,0.771,0.93,6.57915868548715e-101
"C11orf31",5.38793239520857e-105,-0.638594790263252,0.79,0.924,1.81540994124158e-100
"ATP5E",3.90319029008218e-104,-0.650441721585374,0.966,0.974,1.31514093634029e-99
"VAMP5",6.5838008595975e-103,-0.538336819614411,0.107,0.436,2.21834586163278e-98
"DPEP3",9.03704529499984e-103,0.710355987748605,0.759,0.355,3.04494204169725e-98
"PCDH9",1.97263166687646e-102,-0.429697713201586,0.074,0.386,6.64658513837354e-98
"FLT3",1.02369284175222e-100,0.770377032729617,0.597,0.224,3.44923066099991e-96
"IFITM1",1.20480176032257e-99,-0.327756457289952,0.019,0.24,4.05945905123087e-95
"RPL17",2.23380247397544e-99,-0.557016115638954,0.936,0.932,7.52657405581286e-95
"TLE4",2.04810707960609e-95,-0.387601171839509,0.148,0.516,6.90089199402475e-91
"MIR4435-2HG",1.18198250446711e-94,-0.449298032105016,0.159,0.52,3.98257185055148e-90
"EIF3H",6.02634344995957e-93,0.513796476816846,0.967,0.927,2.03051616202938e-88
"MAP7",2.8647301566767e-92,-0.356893353056403,0.158,0.519,9.65242178990648e-88
"AJ006998.2",3.14277695808113e-92,-0.297014946357979,0.037,0.279,1.05892726825586e-87
"ANXA5",3.15401101797534e-92,-0.382611904992184,0.081,0.375,1.06271247239661e-87
"IGSF10",5.21135722547133e-92,-0.370076572905568,0.068,0.348,1.75591470355031e-87
"HOPX",7.93895548863564e-92,0.930438635593365,0.846,0.538,2.67495166234089e-87
"ANXA1",2.03457747230375e-91,-0.859241922966523,0.292,0.689,6.85530533518026e-87
"RPS18",1.27472469013633e-90,-0.292785275864742,0.999,1,4.29505737094534e-86
"IER2",2.44184514565345e-90,1.0718507085335,0.919,0.825,8.22755303376473e-86
"MARCKSL1",1.0053822722868e-89,-0.542023295868108,0.191,0.554,3.38753502824315e-85
"RPS24",1.97601110968166e-89,0.298272269273748,0.999,1,6.65797183296139e-85
"RPS3",3.06797055046921e-89,0.279971116459765,1,0.998,1.0337219972751e-84
"RPL31",4.74639378213997e-89,-0.409413152768445,0.99,0.969,1.59924992095424e-84
"NDUFA13",6.02977521254392e-89,-0.616702011773036,0.752,0.92,2.03167246011455e-84
"CD81",7.90983721890762e-87,0.536030216579579,0.948,0.866,2.66514055253873e-82
"FAM173A",1.32423768038204e-86,-0.284248675571668,0.088,0.383,4.46188644027924e-82
"EEF2",1.99702493947162e-86,0.434580192299532,0.993,0.967,6.72877583105566e-82
"NAA38",2.50664994835123e-86,-0.952714122775519,0.693,0.876,8.44590633597462e-82
"IGLL1",9.09522336872029e-86,0.875799734859595,0.826,0.537,3.06454456185661e-81
"AZU1",1.05399906691997e-85,1.06781558348038,0.589,0.197,3.55134445608013e-81
"HPGDS",7.44200270532576e-85,-0.291872462673966,0.03,0.246,2.50750839153246e-80
"NPW",1.37924530033441e-84,0.85928310951707,0.785,0.494,4.64722911494677e-80
"RPS11",1.82475882053081e-84,-0.355531757998192,0.993,0.984,6.1483423698965e-80
"BTG2",3.01929939244284e-84,1.05080924917756,0.69,0.408,1.01732273728969e-79
"SARAF",3.06322208442387e-84,0.577848456711248,0.962,0.915,1.03212204912578e-79
"CKB",4.15971282293914e-83,-0.322726231734443,0.084,0.367,1.40157363856112e-78
"HIST2H2AC",6.68891245087487e-81,-0.393619065894976,0.135,0.456,2.25376216119778e-76
"OST4",1.30505176095172e-80,-0.581556699213502,0.867,0.95,4.39724140335073e-76
"RGS19",1.76099714723101e-80,-0.381316780156891,0.185,0.535,5.93350378788016e-76
"AAED1",2.19303260026455e-80,-0.261237492221298,0.105,0.406,7.38920404333139e-76
"XIST",2.56606249220519e-80,0.625410052913657,0.949,0.828,8.64609096123618e-76
"RP11-354E11.2",4.5276541372228e-80,-0.487699043164624,0.051,0.286,1.52554778499585e-75
"SOCS3",1.38309148444074e-79,-0.399720152138417,0.048,0.277,4.66018844767464e-75
"PLPPR3",1.42336319068082e-79,0.567024872561232,0.472,0.117,4.79587993467995e-75
"PLXDC2",9.89484601886728e-79,-0.342054094674064,0.076,0.339,3.33396941759714e-74
"SERF2",1.64637933730141e-78,-0.59037317718386,0.976,0.984,5.54731053910336e-74
"RPS21",2.33063766227844e-78,-0.274565991389168,0.997,0.985,7.85285053928096e-74
"MLLT3",4.73382672392882e-78,-0.541758993750423,0.244,0.589,1.59501557636058e-73
"RPS20",8.81417102041825e-78,-0.429090991073584,0.992,0.986,2.96984678361973e-73
"ARPC1B",1.41527033291585e-76,-0.766639069208722,0.792,0.921,4.76861185972666e-72
"TNFRSF14",4.21068824628002e-76,-0.312339167073311,0.132,0.445,1.41874929770159e-71
"APOC1",4.32987872958349e-76,-0.962886438576941,0.035,0.237,1.45890933914586e-71
"EEF1G",6.52993236014515e-75,-0.323089128908229,0.217,0.566,2.20019540942731e-70
"RPL5",6.64432020391963e-75,0.294218445881763,0.998,0.994,2.23873724950868e-70
"APLP2",1.20591817932146e-74,0.720693992222142,0.837,0.738,4.06322071340573e-70
"NT5C",2.11342244301874e-74,-0.405692602771221,0.291,0.653,7.12096557950734e-70
"GATA1",3.74689886480871e-74,-0.44405149168196,0.047,0.263,1.26248010350865e-69
"FCER1A",4.42426754238864e-73,-0.580503003443782,0.162,0.483,1.49071270573243e-68
"EIF3E",9.95896222043462e-73,0.463366317428031,0.984,0.945,3.35557273055324e-68
"TLN1",1.09271527659387e-72,-0.680998293524986,0.354,0.698,3.68179485295538e-68
"MT-ND4",3.58268806542388e-72,0.432181873075389,0.999,0.951,1.20715091676392e-67
"ZFP36L2",4.51298276643981e-72,0.610922788748673,0.987,0.92,1.52060441332423e-67
"CLIC1",9.24464898615077e-72,-0.485100230691721,0.96,0.965,3.11489202939364e-67
"FOS",1.46920441153125e-71,0.732593879563642,0.983,0.93,4.9503373442134e-67
"TCEB2",1.68336395284344e-71,-0.582338388609167,0.85,0.948,5.6719265027107e-67
"HIST1H1C",5.22168715050382e-71,-0.477557297684948,0.237,0.577,1.75939526849076e-66
"CRABP1",6.19955449092707e-71,0.547773543222547,0.538,0.226,2.08887789017297e-66
"PDZK1IP1",7.5111806063712e-71,-0.378239095450169,0.035,0.232,2.53081719351071e-66
"CARHSP1",1.4148421747335e-70,-0.322253978521977,0.122,0.408,4.76716922354704e-66
"RAB27B",7.65895126922333e-70,-0.276805236097689,0.033,0.226,2.58060704065211e-65
"BTF3",7.73782464675882e-70,0.332046156672806,0.994,0.974,2.60718263647892e-65
"LINC00152",3.43163929119551e-69,-0.577939884586933,0.437,0.745,1.15625654277542e-64
"CFD",5.6344840600927e-69,1.24972600193013,0.6,0.31,1.89848305920763e-64
"NDUFA7",3.26702555368888e-68,-0.316959281623349,0.225,0.568,1.10079159005993e-63
"GABRD",1.82044703041441e-67,0.423369121231373,0.341,0.042,6.13381422427831e-63
"NR4A2",1.4378471262343e-66,-0.457450911503275,0.17,0.471,4.84468210713384e-62
"ZFP36L1",3.5531367975535e-66,-0.523458314080213,0.112,0.379,1.19719391256768e-61
"CCNI",4.56789524501263e-66,0.491774014010845,0.973,0.937,1.53910662385455e-61
"MRPL41",6.71553863162425e-66,-0.41356918202318,0.271,0.632,2.26273358653947e-61
"ITGA2B",1.53601032200891e-65,-0.730973272972928,0.058,0.266,5.17543317897683e-61
"C9orf16",4.97422713189494e-65,-0.524283514305014,0.708,0.887,1.67601608982068e-60
"PRELID1",9.14145283120618e-65,-0.573608433411964,0.595,0.844,3.08012111694661e-60
"JUND",9.36096325677679e-65,0.492999346341644,0.998,0.978,3.15408295973837e-60
"SPINK2",3.39734765556412e-64,0.663902092682631,0.908,0.624,1.14470231906577e-59
"ROMO1",9.12693760666088e-63,-0.470776585441371,0.41,0.739,3.07523035718832e-58
"RPL23",2.03076992379531e-62,-0.370475095348372,0.992,0.974,6.84247618123592e-58
"SEPP1",2.57730062116138e-62,0.710981070752248,0.598,0.367,8.68395671294116e-58
"LITAF",2.85057824502257e-62,0.523510948535584,0.686,0.48,9.60473833877905e-58
"TMSB10",4.00174972622315e-62,-0.574087830059975,0.992,0.986,1.34834955275363e-57
"RGS18",7.39248932789518e-62,-0.513241966138523,0.031,0.203,2.490825354141e-57
"PPP1R14B",1.04920205150652e-61,-0.609655642198893,0.625,0.831,3.53518139234607e-57
"LAMTOR1",5.47987526911039e-61,-0.629435520008463,0.73,0.875,1.84638917317405e-56
"HLA-DQA1",6.51691422873447e-61,-0.37077676028885,0.101,0.343,2.19580908022979e-56
"GABPB1-AS1",9.02788968811529e-61,0.660002160270982,0.9,0.763,3.04185715151357e-56
"SEPT6",1.11777825541688e-60,0.559258447342958,0.934,0.823,3.76624205380163e-56
"RPS4X",1.4823952852885e-60,0.265167945396316,1,0.995,4.99478267425109e-56
"LTA4H",5.85449873555725e-60,0.520622373755445,0.798,0.688,1.97261480395866e-55
"NFKBIA",6.93021451534889e-60,-0.860767740330759,0.367,0.684,2.33506647880165e-55
"LST1",7.97544603199451e-60,-0.59987444207215,0.431,0.72,2.68724678602023e-55
"UQCRB",6.86143632973558e-59,0.33594574475331,0.991,0.966,2.31189235694111e-54
"NIT2",2.67222888899231e-58,-0.310943453365531,0.213,0.526,9.0038080185707e-54
"PPA1",2.94463137321095e-58,0.452195918071387,0.907,0.851,9.92164094889699e-54
"COX6B1",6.1478102835168e-58,-0.431974005130725,0.932,0.953,2.07144319692815e-53
"MCL1",7.28660955423726e-58,0.635374155167511,0.884,0.767,2.4551502232047e-53
"ZFAS1",1.02240448252468e-57,0.558143116861523,0.991,0.943,3.44488966341865e-53
"MRPS15",8.9348202134418e-56,-0.473963109045785,0.454,0.738,3.01049832271708e-51
"PHF5A",1.14800963888796e-55,-0.290132924252885,0.252,0.583,3.86810367726909e-51
