"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TYROBP",0,2.4501766258092,0.672,0.363,0
"VIM",0,1.31421944432903,0.957,0.932,0
"VCAN",0,2.1920975711417,0.541,0.03,0
"NUCKS1",0,-0.92748984931438,0.583,0.836,0
"NUCB2",0,-1.13894089324454,0.537,0.864,0
"PABPC1",0,0.867963841596593,0.958,0.921,0
"FCN1",0,2.27236871741574,0.575,0.052,0
"FTL",0,1.76793816616903,0.988,0.972,0
"DYNLL1",0,-0.779519356842358,0.594,0.856,0
"LYZ",0,3.12489063528402,0.872,0.524,0
"NFKBIA",0,1.79849572447482,0.829,0.637,0
"COTL1",0,1.74845035540841,0.797,0.649,0
"MS4A6A",0,1.57395184591287,0.503,0.078,0
"CD83",0,1.30388342215839,0.546,0.188,0
"NCF2",0,1.49556422751199,0.505,0.067,0
"STMN1",0,-1.40149404801945,0.42,0.867,0
"PLBD1",0,1.20125303652007,0.435,0.032,0
"CSTA",0,1.86315234977837,0.577,0.107,0
"PFDN5",0,0.67965022407969,0.937,0.928,0
"CDKN1A",0,1.22196081309725,0.435,0.068,0
"CFP",0,1.32839070881882,0.531,0.138,0
"IGLL1",0,-1.78186450007826,0.225,0.687,0
"CD68",0,1.39653500968346,0.538,0.169,0
"SAT1",0,1.67022474001934,0.911,0.76,0
"LILRB2",0,0.975059376534604,0.404,0.036,0
"LGALS3",0,1.95464955008734,0.545,0.079,0
"NASP",0,-0.887712279224059,0.491,0.799,0
"TPT1",0,0.481551961233538,0.997,0.991,0
"ANXA1",0,1.76800575535337,0.88,0.601,0
"ITM2C",0,-1.01997929750363,0.324,0.732,0
"IER3",0,1.95980402336168,0.507,0.095,0
"GABARAPL1",0,1.37774042902293,0.515,0.146,0
"S100A8",0,2.25953848710472,0.679,0.172,0
"UBC",0,1.25775939380759,0.959,0.944,0
"SLC7A7",0,1.29515279859713,0.452,0.031,0
"FCER1G",0,1.82088025180479,0.631,0.276,0
"LAPTM5",0,1.55087449007624,0.879,0.772,0
"CTSS",0,2.43652796511004,0.8,0.638,0
"S100A9",0,2.66563290608135,0.778,0.226,0
"S100A12",0,1.42512875930424,0.488,0.048,0
"RPL27A",0,-0.803017529531314,0.942,0.982,0
"FTH1",0,2.15916783590508,0.995,0.98,0
"CXCL8",0,2.32369398176434,0.547,0.084,0
"CD14",0,1.82274771577889,0.513,0.034,0
"MZB1",0,-0.955247555181914,0.087,0.474,0
"CEBPB",0,2.2009854415039,0.678,0.388,0
"CLEC7A",0,1.52666425891446,0.502,0.047,0
"EIF1",0,0.846912879184452,0.988,0.985,0
"UPP1",0,1.40125899259205,0.49,0.104,0
"TNFAIP2",0,1.27272977916427,0.519,0.15,0
"CD300E",0,1.22475372319007,0.405,0.014,0
"HMGB1",0,-0.949381434122758,0.922,0.967,0
"S100A4",0,1.51143619224581,0.899,0.839,0
"TCF4",0,-1.22662652461151,0.304,0.655,0
"HIST1H4C",0,-1.49656405113583,0.511,0.882,0
"SERPINA1",0,1.72837534469194,0.503,0.027,0
"C5AR1",0,1.2858118808403,0.435,0.029,0
"PSAP",0,1.90558211841537,0.802,0.563,0
"S100A10",0,2.13765046676016,0.779,0.608,0
"CFD",0,2.02661052363931,0.624,0.171,0
"S100A6",0,1.74226201977177,0.897,0.834,0
"MAFB",0,2.47868330917215,0.513,0.037,0
"PSMB8",0,-0.755107474079736,0.681,0.858,0
"IGKC",0,-3.67647558554348,0.072,0.557,0
"RPS29",0,-0.543772918729085,0.942,0.987,0
"CEBPD",0,2.13486170706778,0.647,0.326,0
"NEAT1",0,2.48818206531701,0.954,0.836,0
"LINC00936",0,1.56478303780202,0.731,0.474,0
"SH3BGRL3",2.68263787881824e-307,1.23441299266555,0.911,0.867,9.03888006889018e-303
"FPR1",7.55434344316631e-304,0.890270130591651,0.394,0.028,2.54536047974046e-299
"SPI1",6.29090774829481e-301,1.21684840638922,0.73,0.506,2.11965845671045e-296
"PILRA",1.43471535992899e-299,0.889316948520059,0.402,0.045,4.83412993374474e-295
"JUNB",1.01297234259747e-298,1.04648683465007,0.854,0.698,3.41310901114791e-294
"CTSH",3.39075683285565e-295,1.16086185963345,0.515,0.161,1.14248160726238e-290
"BST2",1.73225797881285e-294,-0.795869483585418,0.687,0.864,5.83667003381201e-290
"MNDA",2.41479750856227e-294,1.3038390475693,0.48,0.101,8.1364187253497e-290
"ADA",4.17701517631863e-293,-0.662218984157868,0.255,0.603,1.4074034935088e-288
"APOBEC3A",6.99686049308633e-291,1.23446409187345,0.38,0.027,2.35752217454051e-286
"RNASEH2B",7.67608226115352e-291,-0.670669655969491,0.43,0.738,2.58637915707307e-286
"HIF1A",8.78961492272508e-291,1.25783126078528,0.618,0.312,2.96157285206299e-286
"G0S2",2.92762050511093e-290,2.68534676425019,0.374,0.029,9.86432452992076e-286
"NAMPT",4.89314520060262e-290,1.30686670879192,0.65,0.351,1.64869634389105e-285
"HMOX1",1.11790984312289e-289,1.02663920917485,0.352,0.015,3.76668542541826e-285
"FGR",5.49016243175926e-289,0.877465492574024,0.398,0.046,1.84985532975697e-284
