"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGR",0,1.83105986619111,0.686,0.029,0
"LASP1",0,0.595468349831207,0.53,0.187,0
"PDK4",0,0.336239715536007,0.195,0.002,0
"ITGAL",0,0.696270819680339,0.485,0.066,0
"KDM7A",0,0.438943991886963,0.33,0.035,0
"ALDH3B1",0,0.553426395002002,0.444,0.109,0
"GAS7",0,1.029491094788,0.514,0.013,0
"NADK",0,0.746912452869986,0.539,0.139,0
"RPS20",0,-0.859592490656989,0.959,0.971,0
"STAB1",0,0.655818135394993,0.415,0.034,0
"CD4",0,1.04100968079299,0.503,0.021,0
"PLAUR",0,2.33533741277185,0.718,0.076,0
"TYROBP",0,2.81371327653397,0.864,0.502,0
"ALOX5",0,1.08742801587798,0.547,0.008,0
"MTMR11",0,0.34146658347318,0.226,0.002,0
"SLC11A1",0,1.67188417037995,0.668,0.065,0
"SERPINB1",0,-0.841711641364989,0.911,0.891,0
"TYMP",0,2.6922309814051,0.799,0.189,0
"VIM",0,1.5694396243275,0.979,0.908,0
"RNASET2",0,0.848856466589902,0.743,0.414,0
"CD44",0,1.46336569208379,0.863,0.624,0
"IFNGR1",0,0.816886923797186,0.56,0.141,0
"TNFRSF1B",0,1.86173707167861,0.692,0.045,0
"POU2F2",0,1.53696247499878,0.742,0.259,0
"GRN",0,2.13943384608167,0.851,0.445,0
"TMSB10",0,1.42663710206068,0.988,0.948,0
"TIMP2",0,1.00232891486018,0.714,0.295,0
"VCAN",0,3.31020632543863,0.742,0.018,0
"HEXB",0,0.66637393440795,0.586,0.219,0
"HERPUD1",0,1.00531030907792,0.678,0.285,0
"HOMER3",0,0.423990509701368,0.282,0.009,0
"CYBA",0,0.729324947306522,0.978,0.925,0
"KCNQ1",0,0.36431184970476,0.26,0.013,0
"MXD1",0,0.947090289755562,0.575,0.15,0
"SLC2A3",0,1.29331192774277,0.521,0.129,0
"VMP1",0,0.902299466274485,0.774,0.486,0
"RPL18",0,-1.05254549655739,0.986,0.991,0
"ANKRD44",0,0.552118174065993,0.498,0.155,0
"FAM107B",0,0.405543282242477,0.356,0.06,0
"SPI1",0,1.5541058275336,0.842,0.474,0
"KLF6",0,2.1437775089988,0.906,0.568,0
"EVI5",0,0.439792756068196,0.312,0.04,0
"PKM",0,1.01087092701688,0.859,0.622,0
"RHOA",0,1.00578743458372,0.95,0.814,0
"ATP11A",0,0.536245440927727,0.37,0.02,0
"RAB27A",0,0.801570490568642,0.538,0.13,0
"NUCB2",0,-0.986130706333127,0.331,0.787,0
"PABPC1",0,1.35177039210808,0.987,0.938,0
"ATP2B1",0,1.1327553055162,0.668,0.259,0
"MAP4K4",0,0.553587126546753,0.487,0.151,0
"PRKACA",0,0.645734301328151,0.476,0.089,0
"PTPN18",0,0.70133834441851,0.614,0.274,0
"UBE2D1",0,0.647468548051955,0.506,0.141,0
"PICALM",0,0.690863730681062,0.528,0.15,0
"FOSL2",0,1.09242166252691,0.68,0.223,0
