"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PABPC1",0,0.752727046242112,0.995,0.891,0
"RPL31",0,0.847617188026436,0.988,0.915,0
"RPL37",0,0.651038031977814,0.998,0.987,0
"RPS21",0,1.01663636742276,0.989,0.959,0
"RPL38",0,0.820073557895471,0.994,0.93,0
"RPL37A",0,0.715892511621764,0.997,0.988,0
"MT-ND3",0,0.62359794272567,0.987,0.981,0
"RPL39",0,0.616276658375359,0.991,0.985,0
"RPS29",0,0.892182586029546,0.995,0.981,0
"RPL36A",0,1.29996967435004,0.991,0.893,0
"HBB",0,-0.661824634153826,0.588,0.906,0
"EIF5AL1",0,0.463036272837514,0.546,0.116,0
"RPL17",1.34289085397644e-291,0.674913380972308,0.966,0.791,4.52473644338823e-287
"RPL41",2.78895716593673e-288,0.440467116775373,0.998,0.997,9.39711227490722e-284
"MT-ATP8",8.35789197870381e-263,0.495632585760207,0.755,0.32,2.81610812330446e-258
"RPL10",1.80921823285724e-257,-0.520143929717366,0.993,0.998,6.09597991378917e-253
"IGKC",3.81344022776531e-256,-4.94439645629429,0.048,0.422,1.28490055034324e-251
"NDUFB1",3.89342109541465e-239,0.550018352464062,0.921,0.591,1.31184930388901e-234
"HNRNPL",7.04832481589213e-236,0.465376992064618,0.828,0.444,2.37486256346669e-231
"PET100",5.95206053730303e-229,0.437416095313558,0.868,0.492,2.00548727743888e-224
"PFN1",7.77306061175858e-228,0.588220322407097,0.986,0.839,2.61905504252594e-223
"SPN",4.0142004403436e-226,0.610783942152016,0.868,0.508,1.35254469636937e-221
"NBEAL1",1.4482704267591e-225,0.372947945304514,0.686,0.294,4.87980237592211e-221
"IFITM3",9.76628730091886e-224,0.536944496233607,0.531,0.167,3.2906528431716e-219
"MRPL33",2.05628705604243e-222,0.54280428994178,0.837,0.462,6.92845360662937e-218
"CRTAP",1.06563300625525e-220,0.460422293325592,0.689,0.293,3.59054385127643e-216
"RNF130",1.3695175867748e-218,0.57243987962226,0.919,0.55,4.61445255687901e-214
"MT-ND4L",3.31341105703446e-218,0.634831482930535,0.95,0.704,1.11642072155719e-213
"ATXN2L",4.22977613031895e-214,0.365742666150058,0.659,0.279,1.42518076934967e-209
"SEC61G",6.8942762146893e-214,0.52968582202648,0.901,0.571,2.32295742777741e-209
"COMT",3.5875665313366e-212,0.501753822317323,0.861,0.491,1.20879466706856e-207
"GABARAP",1.08506215443087e-207,0.503445654291182,0.735,0.337,3.65600842313938e-203
"ENO1",3.15288542031213e-207,0.670479280894035,0.969,0.743,1.06233321351997e-202
"USMG5",7.04608132278553e-207,0.51189100197596,0.928,0.626,2.37410664089936e-202
"RPL36",4.69748415274619e-202,0.386389257031264,0.995,0.98,1.5827703104263e-197
"PPIA",8.27191826452836e-201,0.567127003904051,0.979,0.884,2.78714014005019e-196
"NDUFB3",1.01343407288805e-199,0.398101286931992,0.791,0.422,3.414664765189e-195
"IRF2BP2",1.8634357560257e-197,0.52420438262883,0.844,0.478,6.27866043635298e-193
"RPS28",2.127244532217e-196,0.352878325062515,0.997,0.986,7.16753772685195e-192
"IFITM2",2.11813735313707e-189,0.585313997379467,0.905,0.604,7.13685199766004e-185
"HSPB1",6.84752192459866e-188,0.616519773089687,0.815,0.503,2.30720403727427e-183
"ERGIC3",8.74067588928027e-188,0.422153238228705,0.861,0.502,2.9450833341341e-183
"UBE2Q1",3.21814859219793e-185,0.27240128218034,0.508,0.167,1.08432298665517e-180
"CD34",5.41108808591499e-185,0.549313070397585,0.625,0.286,1.8232120196682e-180
"RPL27",1.32598151591053e-184,0.340505798830891,0.993,0.949,4.46776211970893e-180
"TMEM258",6.26476683892286e-183,0.481751825751033,0.933,0.641,2.11085053870667e-178
"CREG1",1.12303664200269e-182,0.362477128488308,0.695,0.337,3.78395966156386e-178
"PPP2R1A",7.5290008836372e-180,0.335222682558809,0.708,0.355,2.53682155773272e-175
