"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DUSP1",0,1.62868652841367,0.982,0.874,0
"RPL27A",0,-1.56315334567183,0.88,0.954,0
"RPL37A",2.22986876911606e-271,-1.3027559708381,0.97,0.986,7.51331983065965e-267
"RPS29",8.51060719168764e-269,-1.30210048901194,0.958,0.964,2.86756398716723e-264
"RPS21",1.84060356619977e-262,-1.22957538345209,0.915,0.96,6.20172965595351e-258
"RPL38",8.04841020742327e-261,-1.13425511230696,0.897,0.942,2.7118313352892e-256
"NFKBIA",9.82328244137814e-258,1.7154331676089,0.947,0.729,3.30985678579795e-253
"HLA-B",1.04268933771959e-251,0.902790754254933,0.997,0.976,3.51323745451238e-247
"FCER1G",1.24258542331107e-249,1.64010302634362,0.884,0.543,4.18676732530433e-245
"RPL13A",2.15624754586715e-247,-1.15939623942234,0.973,0.979,7.26526048104476e-243
"FTH1",1.95601118517999e-245,1.32490605138026,0.999,0.969,6.59058408734546e-241
"JUNB",1.86404031702901e-238,1.55291943745214,0.929,0.655,6.28069744419755e-234
"IER2",1.88513193388162e-233,1.45169089737903,0.947,0.782,6.35176353802072e-229
"RPS10",3.03513413437287e-224,-1.19650523374707,0.891,0.932,1.02265809523559e-219
"GPX1",1.48691847476191e-222,1.02490464448792,0.982,0.891,5.01002310886278e-218
"RPL35",3.15629340156671e-222,-1.14191394877945,0.942,0.96,1.06348149872389e-217
"B2M",1.15338976227803e-217,0.83188639630257,1,0.992,3.88623146501959e-213
"ACTB",1.25266077415542e-217,0.846041663138783,0.999,0.983,4.22071521243927e-213
"RPLP2",6.0452148496096e-215,-0.741271606188403,0.991,0.97,2.03687469142746e-210
"RPL36A",7.37747553691410e-215,-1.29450766198936,0.709,0.882,2.48576660740784e-210
"MNDA",2.70051349183946e-214,1.55790959246302,0.828,0.369,9.09911015940389e-210
"RPL37",2.05938573894795e-210,-0.975021178787496,0.987,0.98,6.93889430881123e-206
"FTL",4.65742903773538e-207,1.20094108322085,0.999,0.955,1.56927413997456e-202
"LYZ",1.06158255356751e-200,1.34573071375292,0.924,0.583,3.57689625599037e-196
"RPS18",1.95567423385812e-197,-1.22065150846263,0.98,0.992,6.58944876356156e-193
"RPS20",1.47926518746093e-192,-1.05462608166015,0.897,0.917,4.98423612263087e-188
"FCN1",3.76862454506114e-191,1.38585997018949,0.847,0.36,1.2698003542129e-186
"RPS19",1.19262350124908e-188,-0.931935266187641,0.985,0.983,4.01842562510866e-184
"IL1B",1.39190754476432e-188,1.52946359636978,0.844,0.517,4.68989328132889e-184
"RPL31",7.31600836509869e-185,-1.10956604096872,0.756,0.886,2.46505585853635e-180
"EIF1",7.42206193895472e-183,0.653907589840808,0.999,0.982,2.5007895497114e-178
"RGS2",9.20957131603446e-182,1.42738974769666,0.858,0.507,3.10307295922465e-177
"FGL2",1.73554030827206e-181,1.32158519693594,0.815,0.381,5.84772951469189e-177
"IER3",1.0050322959145e-180,1.58768753076628,0.729,0.277,3.38635581785433e-176
"MS4A6A",3.11496906779069e-180,1.35904234341895,0.813,0.366,1.0495576777014e-175
"RPL23A",1.18202312862392e-179,-0.941930462161457,0.961,0.966,3.98270872958544e-175
"S100A10",7.68076361021153e-179,1.51548797415178,0.827,0.48,2.58795649082467e-174
"CTSS",3.25099820925252e-178,1.27971571978956,0.929,0.671,1.09539133662555e-173
"RPL17",1.68620035161103e-176,-1.15677202854956,0.48,0.779,5.68148346471819e-172
"MZT2B",5.20116038566878e-175,-1.07918216975231,0.489,0.809,1.75247898034724e-170
"S100A9",3.14650238719783e-174,1.23673281355095,0.909,0.472,1.06018251434244e-169
"STMN1",3.4043693348004e-174,-1.40711750472581,0.238,0.653,1.14706820366765e-169
"RPL41",6.95796587645583e-174,-0.77543067755682,0.995,0.987,2.34441702241303e-169
"LINC00936",6.42385270701954e-172,1.18721331280932,0.893,0.554,2.16445293110316e-167
"S100A4",2.69988835191346e-168,1.05918167704511,0.981,0.87,9.0970038129372e-164
"SAT1",4.95498846101416e-167,1.14604824764772,0.963,0.796,1.66953381205411e-162
"SH3BGRL3",1.72225427988169e-166,0.879115534438971,0.98,0.868,5.80296357063335e-162
"ZFP36L1",6.16200374534419e-165,1.37062561038951,0.845,0.561,2.07622554195627e-160
